King, Stephen;The Shining;"[""Fiction"",""horror fiction"",""demonology"",""precognition"",""authors"",""hotelkeepers"",""gothic & horror"",""paranormal fiction suspense & thriller"",""horror"",""supernatural thrillers"",""ghost fiction"",""horror tales"",""haunted houses"",""backstories"",""property"",""caretakers"",""cabin fever"",""alcoholism"",""plays"",""psychics"",""telepathy"",""clairvoyance"",""ghosts"",""topiary"",""roque"",""Fiction, occult & supernatural"",""Fiction, horror"",""Torrance, jack (fictitious character), fiction"",""Colorado, fiction"",""American literature"",""Families"",""Large type books"",""Family"",""nyt:e-book-fiction=2013-10-13"",""New York Times bestseller""]";447;/works/OL81633W;OL32037064M
Kingsley, Charles;The Water-Babies;"[""Chimney sweeps"",""Open Library Staff Picks"",""Fiction in English"",""Fiction"",""Fairy tales"",""Children's stories"",""Children's fiction"",""Fairies, fiction"",""Adventure and adventurers, fiction"",""Fantasy"",""Painting"",""Private collections"",""Royal houses"",""Art collections"",""Kings and rulers"",""Juvenile fiction"",""Fairies"",""Marine animals""]";;/works/OL1130095W;OL13789577M
Kingsolver, Barbara;The Poisonwood Bible;"[""History"",""Literature"",""Missionaries"",""Family"",""Fiction"",""Americans"",""open_syllabus_project"",""Families"",""Religious fundamentalism"",""Colonialism"",""Christian missionaries"",""Literary"",""Culture conflict"",""Historical fiction"",""Baptists"",""FICTION"",""Fiction, historical"",""Missionaries, fiction"",""Africa, fiction"",""Americans in Africa"",""Emotionally abusive men"",""Religious fanatics"",""Christian families"",""Americans in Congo"",""Large type books"",""nyt:e-book-fiction=2013-01-27"",""New York Times bestseller"",""Fiction, historical, general""]";616;/works/OL1846880W;OL21852590M
Kipling, Rudyard;Kim;"[""Fiction"",""Irish"",""Lamas"",""Irish in fiction"",""Orphans"",""Boys in fiction"",""Boys"",""Lamas in fiction"",""Orphans in fiction"",""India in fiction"",""East and West"",""East and West in fiction"",""Juvenile fiction"",""Classic Literature"",""Juvenile fiction'"",""Conduct of life"",""Adventure and adventurers"",""British"",""Youth"",""Voyages and travels"",""Education"",""Enlightenment (Buddhism)"",""Spies"",""Kindness"",""History"",""British and irish fiction (fictional works by one author)"",""Fiction, action & adventure"",""India, fiction"",""Fiction, historical"",""Irish fiction"",""Adventure stories"",""English fiction"",""Large type books"",""Fiction, historical, general""]";308;/works/OL20172W;OL31766858M
Kis, Danilo;Garden, Ashes;null;170;/works/OL12208395W;OL17525094M
Kleist, Heinrich von;Michael Kohlhaas;"[""Political and social views"",""Criticism and interpretation"",""History"",""Quelle"",""Sixteenth century"",""Revolutionaries"",""Fiction"",""Fiction, historical"",""Germany, fiction"",""Fiction, historical, general"",""Criminals, fiction"",""Fiction, action & adventure""]";;/works/OL1451547W;OL21947984M
Klima, Ivan;Waiting for the Dark, Waiting for the Light;"[""Fiction"",""History""]";240;/works/OL11313810W;OL14948965M
Koeppen, Wolfgang;The Hothouse;"[""Politics and government"",""Politicians"",""Fiction"",""Fiction, historical"",""Fiction, political"",""Germany, fiction"",""Fiction, historical, general""]";221;/works/OL8061729W;OL6797023M
Koeppen, Wolfgang;Death in Rome;;;;
Konrad, Gyorgy;The Case Worker;;;;
Kosmac, Ciril;A Day in Spring;null;205;/works/OL12560347W;OL18869802M
Kossmann, Alfred;Smell of Sadness;;;;
